isin;structure;actualite;action
FR0010541813;Le fonds Actions 21 est un fonds actions France privilégiant une gestion value mais en gardant la liberté d’investir sur des opportunités coup de cœur. Le gérant recherche des entreprises dégageant des cash-flows satisfaisants et pérennes tout en étant sous-valorisées par le marché et reste attentif à la croissance des marges et à la notion de profitabilité des entreprises. Le fonds n’investit pratiquement jamais sur le secteur de Pétrole et du gaz, les bancaires et les techno. Structurellement, le fonds est investi à près de 50% en petites et moyennes capitalisations. ;Actuellement, le fonds surpondère le secteur de la consommation (ce que nous privilégions), de l’automobile et ses équipementiers (secteur value par excellence) et celui des Médias et Pub (pour des raisons de pur stock picking). Le gérant joue les valeurs dollar, les entreprises endettées et la continuation des flux sur les actions européennes poussées par la BCE. Le fonds est constitué de 50% grandes capitalisations, 30% moyennes et 20% petites. Référencement : Swiss Life;
FR0010541839;Le fonds investit sur des actions immobilières (foncières) de la zone euro (non UK). La gestion est de type value : le gérant va plutôt chercher des actifs avec des rendements élevés quitte à ne pas profiter de la croissance du capital. Le risque du secteur est essentiellement une hausse des taux LT en Europe sans croissance.;"La gestion porte une attention particulière à la liquidité et renforce les grandes capitalisations. Il investit sur des centres commerciaux plutôt que des bureaux. Le gérant est toujours très confiant dans la classe d'actifs malgré le bon comportement depuis 12 mois. Les deux principaux moteurs à savoir le rendement (loyers) et la revalorisation (prix des actifs tournent à plein selon le gérant. 


";ACHETER
FR0010541821;Le fonds investit sur des actions immobilières (foncières) de la zone euro (non UK). La gestion est de type value : le gérant va plutôt chercher des actifs avec des rendements élevés quitte à ne pas profiter de la croissance du capital. Le risque du secteur est essentiellement une hausse des taux LT en Europe sans croissance.;Le gérant trouve le marché très attractif. Les foncières côtées ont été prises dans la baisse de 2018 alors que les fondamentaux restent très bons. La décote n’en est que plus flagrante. Le gérant investit à nouveau et sur pondère les foncières liées aux centres commerciaux. Les craintes liées à la digitalisation du commerce (i.e. Amazon) sont exagérées et ce type d’actifs recèle de la valeur.  ;ACHETER
FR0011153014;Ginjer Actifs 360 est un fonds flexible entre actions et obligations européennes. L’exposition actions peut varier entre 0% et 100% et est principalement investie sur de grandes capitalisations avec un biais plutôt « Value ». C’est une gestion de conviction avec un portefeuille extrêmement concentré (20 à 30 lignes). La poche obligataire est essentiellement positionnée sur les taux souverains. La gestion peut faire varier la sensibilité entre 0 et 7 mais historiquement cette dernière n’a jamais dépassé 1.3. Le portefeuille peut également utiliser des convertibles. Le fonds a la possibilité de s’exposer au risque de change jusqu’à 50% de l’actif mais cette dernière est utilisée à la marge.;"Depuis sa création (fin 2011), la gestion n’a cessé d’augmenter l’exposition actions du fonds. Depuis plus d’un an, cette dernière est maintenue au-dessus des 80% dont 10% provient de l’utilisation de produits dérivés. En revanche, les obligations convertibles ne sont presque plus présentes en portefeuille (2%). La poche obligataire est majoritairement positionnée sur des maturités supérieures à 3 ans mais la sensibilité reste neutre (0.5). L’allocation de la poche actions fait ressortir un biais sur le secteur bancaire et sur le pétrole. Bien que la gestion anticipe des tensions sur les marchés au cours des mois à venir, elle pense qu’elles seront de courte durée et que les pertes seront vite rattrapées. C’est pourquoi elle maintient une exposition forte.
Depuis sa création, ce fonds a tendance à bien souffrir dans les phases de marchés baissiers mais également à rebondir fortement. Sur le 1er semestre 2018, le fonds enregistre une performance de -3.50%, essentiellement pénalisé par ses valeurs financières.";alléger
FR0010923359;H2O ADAGIO se veut être un fonds monétaire dynamique dont l'objectif de performance est d'Eonia + 0,6%. Cependant, la performance et donc le risque sont bien supérieurs. Le gérant peut être qualifié de gérant « Global Macro obligataire» c’est-à-dire un gérant qui va investir sur différents actifs obligataires en fonction des tendances de l’économie mondiale. Les obligations peuvent être internationales ou zone Euro en fonction des opportunités. On trouve également dans ce fonds une gestion devises intéressante et performante.  Nous qualifions ce fonds de dynamique car il peut utiliser l’effet de levier et investir sur des titres volatils. Cependant pour Adagio l'effet de levier est limité.  Nous pensons que dans un environnement de taux bas, c’est sur ce type de véhicule obligataire qu’il faut investir.;Malgré le changement de ton de la Federal Reserve, la gestion conserve les mêmes convictions.  Bruno Crastes prévoit une hausse de l’inflation aux US. De cette hypothèse, 3 convictions principales sont implémentées en portefeuille : les obligations gouvernementales américaines sont chères (sensi -3) face à celle de l’Europe périphérique (Italie sensi +2.5). La courbe des taux allemande va s’aplatir. La dollar US (+35% d'exposition) va continuer de s’apprécier contre la plupart des devises émergentes et matières premières et contre franc suisse. Il y a eu tout de même quelques changements. Des profits ont été pris sur l’aplatissement de la courbe US et les positions ont été transférées vers l’aplatissement de la courbe allemande. Par ailleurs, prise de profits graduelles du USD/EUR au profit d’un USD/devises matières premières (-23% bloc CAD)  et USD/devises asiatiques (-6% bloc émergents). Enfin la position sur les obligations italiennes a été légèrement réduite. ;CONSERVER
FR0013393188;H2O ADAGIO se veut être un fonds monétaire dynamique dont l'objectif de performance est d'Eonia + 0,6%. Cependant, la performance et donc le risque sont bien supérieurs. Le gérant peut être qualifié de gérant « Global Macro obligataire» c’est-à-dire un gérant qui va investir sur différents actifs obligataires en fonction des tendances de l’économie mondiale. Les obligations peuvent être internationales ou zone Euro en fonction des opportunités. On trouve également dans ce fonds une gestion devises intéressante et performante.  Nous qualifions ce fonds de dynamique car il peut utiliser l’effet de levier et investir sur des titres volatils. Cependant pour Adagio l'effet de levier est limité.  Nous pensons que dans un environnement de taux bas, c’est sur ce type de véhicule obligataire qu’il faut investir.;Malgré le changement de ton de la Federal Reserve, la gestion conserve les mêmes convictions.  Bruno Crastes prévoit une hausse de l’inflation aux US. De cette hypothèse, 3 convictions principales sont implémentées en portefeuille : les obligations gouvernementales américaines sont chères (sensi -3) face à celle de l’Europe périphérique (Italie sensi +2.5). La courbe des taux allemande va s’aplatir. La dollar US (+35% d'exposition) va continuer de s’apprécier contre la plupart des devises émergentes et matières premières et contre franc suisse. Il y a eu tout de même quelques changements. Des profits ont été pris sur l’aplatissement de la courbe US et les positions ont été transférées vers l’aplatissement de la courbe allemande. Par ailleurs, prise de profits graduelles du USD/EUR au profit d’un USD/devises matières premières (-23% bloc CAD)  et USD/devises asiatiques (-6% bloc émergents). Enfin la position sur les obligations italiennes a été légèrement réduite. ;CONSERVER
FR0011015460;H2O ALLEGRO est un fonds obligataire dynamique. Le gérant peut être qualifié de gérant « Global Macro obligataire» c’est-à-dire un gérant qui va investir sur différents actifs obligataires en fonction des tendances de l’économie mondiale. Les obligations peuvent être internationales ou zone Euro en fonction des opportunités. On trouve également dans ce fonds une gestion devises intéressante et performante.  Nous qualifions ce fonds de dynamique car il peut utiliser l’effet de levier et investir sur des titres volatils. On peut donc attendre des rendements importants sur ce véhicule obligataire mais avec le risque associé. Contrairement à son clone H2O Multibonds, ce fonds est couvert contre le risque de hausse de taux. Nous pensons que dans un environnement de taux bas avec risque de hausse de taux, c’est sur ce type de véhicule obligataire qu’il faut investir.;Malgré le changement de ton de la Federal Reserve, la gestion conserve les mêmes convictions.  Bruno Crastes prévoit une hausse de l’inflation aux US. De cette hypothèse, 3 convictions principales sont implémentées en portefeuille : les obligations gouvernementales américaines sont chères (sensi -14) face à celle de l’Europe périphérique (Italie sensi +12). La courbe des taux allemande va s’aplatir. La dollar US (+200% d'exposition) va continuer de s’apprécier contre la plupart des devises émergentes et matières premières et contre franc suisse. Il y a eu tout de même quelques changements. Des profits ont été pris sur l’aplatissement de la courbe US et les positions ont été transférées vers l’aplatissement de la courbe allemande. Par ailleurs, prise de profits graduelles du USD/EUR au profit d’un USD/devises matières premières et USD/devises asiatiques. Enfin la position sur les obligations italiennes a été légèrement réduite (la sensibilité est passée de 14 à 12). ;
IE00BYNJFC85;"H2O Fidelio est un fonds Long/Short actions. Le gérant adopte une stratégie qui repose à la fois sur des positions acheteuses (Long) et des positions vendeuses (Short). Par ailleurs le fonds est « market Neutral », c’est-à-dire qu’il  ne veut pas être exposé à la directionnalité du marché actions (i.e. à la hausse ou à la baisse). Il cherche de la performance uniquement sur sa sélection de titres nonobstant la direction du marché. Schématiquement le fonds va être exposé à 3 stratégies. Tout d’abord, une partie stratégique (60 à 80% de l’actif) regroupant des achats/ventes sur des secteurs et des paniers de titres, le prisme sera plutôt macro ou top/down (cycle économique, thématiques…) ce qui est original pour un fonds de cette catégorie. Pour 10 à 30% de l’actif une partie opportuniste consistant en des arbitrages de court terme, c’est à dire du trading (arbitrage fusions acquisitions, arbitrage bons de souscription). Enfin on trouvera une partie d’arbitrage entre titres (décote de holding, prime de management soit une stratégie ""event driven"" ) pour 10 à 20% de l’actif. ";Le fonds est bien un « market neutral » avec une exposition nette au marché proche de 0%. L’exposition brute est proche de 200%. Les positions restent les mêmes à savoir globalement acheteur de value/financières et vendeur de qualité/croissance. Dans le détail, le fonds a des positions acheteuses sur les financières européennes et vendeur des actions à faible volatilité (US et Europe) et qualité US. Il existe également une position acheteuse de grandes capitalisations versus petites capitalisations (aux US). ;ACHETER
FR0010923367;"H2O MODERATO est un fonds d'arbitrage (gestion alternative) sur les marchés obligataires (dont devises) et actions. Le fonds profite de l'écart de prix entre deux actifs plutôt que de la hausse de l'un ou de l'autre. Le fonds est ainsi capable de profiter d'un environnement haussier comme baissier sur les deux classes d'actifs. Le gérant peut être qualifié de ""global macro"". Ses décisions de gestion sont prises à l'aune des grands agrégats macro-économiques. L'effet de levier est présent et le fonds est agressif. Les performances sont au rendez-vous mais au prix d’une volatilité importante. ";Malgré le changement de ton de la Federal Reserve, la gestion conserve les mêmes convictions.  Bruno Crastes prévoit une hausse de l’inflation aux US. De cette hypothèse, 3 convictions principales sont implémentées en portefeuille : les obligations gouvernementales américaines sont chères (sensi -5) face à celle de l’Europe périphérique (Italie sensi +5). La courbe des taux allemande va s’aplatir. La dollar US (+73% d'exposition) va continuer de s’apprécier contre la plupart des devises émergentes et matières premières et contre franc suisse. Il y a eu tout de même quelques changements. Des profits ont été pris sur l’aplatissement de la courbe US et les positions ont été transférées vers l’aplatissement de la courbe allemande. Par ailleurs, prise de profits graduelles du USD/EUR au profit d’un USD/devises matières premières (-43%) et USD/devises émergentes (-10%). Enfin la position sur les obligations italiennes a été légèrement réduite (la sensibilité est passée de 6 à 5). Sur la partie actions, le fonds n’a pas non plus fondamentalement changé ses positions. En termes géographiques, il reste exposé à la zone Euro (+50%), au Japon (7%) et a une position vendeuse sur les US (-37%). Ainsi l’exposition du fonds aux marchés est de 38%. Au niveau sectoriel, les financières (26%) représentent la quasi-totalité de l’allocation. La technologie (-5,5%) et la consommation de base (-3%) sont les positions vendeuses les plus importantes. Le fonds a plutôt un positionnement « value » et s’écarte des valeurs de croissance jugées chères. Le fonds est par ailleurs acheteur des grandes capitalisations et vendeurs des petites. ;ACHETER
FR0010923375;H2O MULTIBONDS-RC est un fonds obligataire très dynamique. Le gérant peut être qualifié de gérant « Global Macro obligataire » c’est-à-dire un gérant qui va investir sur différents actifs obligataires en fonction des tendances de l’économie mondiale. Les obligations peuvent être internationales ou zone Euro en fonction des opportunités. On trouve également dans ce fonds une gestion devises intéressante et performante.  Nous qualifions ce fonds de dynamique car il peut utiliser l’effet de levier et investir sur des titres volatils. On peut donc attendre des rendements importants sur ce véhicule obligataire mais avec le risque associé. Nous pensons que dans un environnement de taux bas, c’est sur ce type de véhicule obligataire qu’il faut investir.;Malgré le changement de ton de la Federal Reserve, la gestion conserve les mêmes convictions.  Bruno Crastes prévoit une hausse de l’inflation aux US. De cette hypothèse, 3 convictions principales sont implémentées en portefeuille : les obligations gouvernementales américaines sont chères (sensi -10) face à celle de l’Europe périphérique (Italie sensi +10). La courbe des taux allemande va s’aplatir. La dollar US (+230% d'exposition) va continuer de s’apprécier contre la plupart des devises émergentes et matières premières et contre franc suisse. Il y a eu tout de même quelques changements. Des profits ont été pris sur l’aplatissement de la courbe US et les positions ont été transférées vers l’aplatissement de la courbe allemande. Par ailleurs, prise de profits graduelles du USD/EUR au profit d’un USD/devises matières premières et USD/devises asiatiques. Enfin la position sur les obligations italiennes a été légèrement réduite (la sensibilité est passée de 12,5 à 10). ;ACHETER
FR0013393329;H2O MULTIBONDS-RC est un fonds obligataire très dynamique. Le gérant peut être qualifié de gérant « Global Macro obligataire » c’est-à-dire un gérant qui va investir sur différents actifs obligataires en fonction des tendances de l’économie mondiale. Les obligations peuvent être internationales ou zone Euro en fonction des opportunités. On trouve également dans ce fonds une gestion devises intéressante et performante.  Nous qualifions ce fonds de dynamique car il peut utiliser l’effet de levier et investir sur des titres volatils. On peut donc attendre des rendements importants sur ce véhicule obligataire mais avec le risque associé. Nous pensons que dans un environnement de taux bas, c’est sur ce type de véhicule obligataire qu’il faut investir.;Malgré le changement de ton de la Federal Reserve, la gestion conserve les mêmes convictions.  Bruno Crastes prévoit une hausse de l’inflation aux US. De cette hypothèse, 3 convictions principales sont implémentées en portefeuille : les obligations gouvernementales américaines sont chères (sensi -10) face à celle de l’Europe périphérique (Italie sensi +10). La courbe des taux allemande va s’aplatir. La dollar US (+230% d'exposition) va continuer de s’apprécier contre la plupart des devises émergentes et matières premières et contre franc suisse. Il y a eu tout de même quelques changements. Des profits ont été pris sur l’aplatissement de la courbe US et les positions ont été transférées vers l’aplatissement de la courbe allemande. Par ailleurs, prise de profits graduelles du USD/EUR au profit d’un USD/devises matières premières et USD/devises asiatiques. Enfin la position sur les obligations italiennes a été légèrement réduite (la sensibilité est passée de 12,5 à 10). ;ACHETER
FR0011008770;H2O Multiequities est un fonds d’arbitrage sur les marchés actions internationaux. Le fonds combine une approche top down macro qui détermine les allocations devises (source importante de performance) et géographiques avec une approche bottom up qui conduit à des paris spécifiques (titres ou secteurs). Ces derniers sont le plus souvent market neutral (l’exposition au marché étant déterminée au niveau bottom up). Le portefeuille est exposé à 250% de l’actif en brut et 100% en net. La gestion est très active avec un taux de rotation du portefeuille proche de 300 à 400%.;Le fonds n’a pas fondamentalement changé ses positions. En termes géographiques, il reste exposé à la zone Euro (+80%), au Japon (30%) et de manière plus résiduelle aux Etats-Unis (10%). Seuls les marchés émergents ont une position vendeuse (-5%). Ainsi l’exposition du fonds aux marchés est de 124%. Au niveau sectoriel, deux secteurs représentent la quasi-totalité de l’allocation : les financières (72%) et la consommation (30%). Le fonds a plutôt un positionnement « value » et s’écarte des valeurs de croissance jugées chères. Le fonds a une préférence pour les grandes capitalisations au détriment des petites. Le risque pris sur les actions est selon la gestion compensé par un position longue sur le dollar US (133%) versus Euro (91%) et devises matières premières (-53%) essentiellement. ;ALLEGER
FR0010923383;"H2O MULTISTRATEGIES est un fonds d'arbitrage (gestion alternative) sur les marchés obligataires (dont devises) et actions. Le fonds profite de l'écart de prix entre deux actifs plutôt que de la hausse de l'un ou de l'autre. Le fonds est ainsi capable de profiter d'un environnement haussier comme baissier sur les deux classes d'actifs. Le gérant peut être qualifié de ""global macro"". Ses décisions de gestion sont prises à l'aune des grands agrégats macro-économiques. L'effet de levier est présent et le fonds est agressif. Les performances sont au rendez-vous mais au prix d’une volatilité importante. ";Malgré le changement de ton de la Federal Reserve, la gestion conserve les mêmes convictions.  Bruno Crastes prévoit une hausse de l’inflation aux US. De cette hypothèse, 3 convictions principales sont implémentées en portefeuille : les obligations gouvernementales américaines sont chères (sensi -10) face à celle de l’Europe périphérique (Italie sensi +10). La courbe des taux allemande va s’aplatir. La dollar US (+140% d'exposition) va continuer de s’apprécier contre la plupart des devises émergentes et matières premières et contre franc suisse. Il y a eu tout de même quelques changements. Des profits ont été pris sur l’aplatissement de la courbe US et les positions ont été transférées vers l’aplatissement de la courbe allemande. Par ailleurs, prise de profits graduelles du USD/EUR au profit d’un USD/devises matières premières (-82%) et USD/devises émergentes (-21%). Enfin la position sur les obligations italiennes a été légèrement réduite (la sensibilité est passée de 12,5 à 10). Sur la partie actions, le fonds n’a pas non plus fondamentalement changé ses positions. En termes géographiques, il reste exposé à la zone Euro (+100%), au Japon (13%) et a une position vendeuse sur les US (-72%). Ainsi l’exposition du fonds aux marchés est de 38%. Au niveau sectoriel, les financières (57%) représentent la quasi-totalité de l’allocation. La technologie (-13%) et la consommation de base (-9%) sont les positions vendeuses les plus importantes. Le fonds a plutôt un positionnement « value » et s’écarte des valeurs de croissance jugées chères. Le fonds est par ailleurs acheteur des grandes capitalisations et vendeurs des petites. ;ACHETER
FR0010487512; Haas Epargne Patrimoine est un fonds flexible entre actions, obligations, monétaires et devises. L’objectif de la gestion est de maintenir une volatilité inférieure à 5%. Le fonds utilise à la fois des titres en direct mais également des OPCVM (qui constituent au moins 40% de l’actif) et dans une moindre mesure de ETF. En revanche, il n’utilise pas de produits dérivés. L’exposition actions peut varier de 0% à 40% avec un investissement constant sur des foncières (17% max historiquement). La gestion reste à l’écart des secteurs du luxe et de la technologie car ils n’ont pas d’expertise en interne. Elle peut s’exposer aux devises jusqu’à 20% de l’actif mais elle n’utilise pratiquement pas cette possibilité. ;"En 2018, le fonds a souffert de son positionnement « value » ainsi que small et mid caps (-10.04% vs -6.65% pour sa catégorie de référence). Ainsi, sur 2019, la gestion aura tendance à privilégier des fonds dit « blend » (sans biais particulier entre « value » et croissance) et multi-capitalisations.
L’exposition actions, qui avait été diminuée en dessous de 20% début janvier, est de nouveau au-dessus de 25%. Cependant elle restera pour l’instant inférieure à 30%. En effet, si la gestion estime infondées les rumeurs de récession, elle constate tout de même un ralentissement de l’économie mondiale. La gestion cherche à apprendre de ses erreurs et utilise désormais davantage une stratégie basée un budget de risque pour être plus réactive et prendre ses profits quand les objectifs sont atteints. Ce sera notamment le cas pour la poche d’actions foncières qui ont déjà rattrapé 50% de leur perte de 2018. 
Concernant le marché obligataire, la gestion est relativement optimiste et ne s’attend pas à des hausses de taux sur l’Europe. Ce qui explique l’augmentation de la sensibilité taux à 1.62. La poche de High Yield européen a été renforcée, notamment sur les pays scandinaves.  Le taux actuariel s’est ainsi amélioré à 2.86%. Rappelons que l’objectif de cette poche est de compenser les frais de gestion pour que la performance du fonds ne soit que le reflet de la performance de la poche actions. ";ALLEGER
LU0138821268;Ce long Short est plutot défensif puisque l'exposition nette en actions est 2 à 3 fois moins élevée que la moyenne des L/S. Track record intéressant. Le gérant n'est pourtant pas très convaincant. Il ne sait pas quantifier la valeur ajoutée de la variation son expo nette (vaut il mieux être tout le à 30% d'expo ou sa variation 0 à30% apporte quelque chose).;;
FR0010601971;Découvertes est un fonds d’actions françaises qui se concentre sur les titres à plus faible capitalisation de la côte. Il est à ce titre éligible au PEA-PME. Le gérant a repris le fonds depuis 2012 et se concentre sur la rencontre des sociétés et du management. Le portefeuille étant composé de titre de très petites capitalisations, la liquidité est un des principaux risques du fonds.;Actuellement le fonds est plutôt défensif avec près de 20% de cash et quais cash (6% de cash et 14% de sociétés visées par une OPA).  Ce cash provient aussi de flux importants de souscriptions. Le gérant est prudent sur sa classe d’actifs qu’il estime globalement chère même s’il n’est pas trop inquiet (la prime est justifiée par rapport aux grandes capitalisations). Il regarde les grandes tendances de l’économie. En ce moment il apprécie l’électronique. Il cible également les OPA.;CONSERVER
FR0007430806;Découvertes est un fonds d’actions françaises qui se concentre sur les titres à plus faible capitalisation de la côte. Il est à ce titre éligible au PEA-PME. Le gérant a repris le fonds depuis 2012 et se concentre sur la rencontre des sociétés et du management. Le portefeuille étant composé de titre de très petites capitalisations, la liquidité est un des principaux risques du fonds.;Actuellement le fonds est plutôt défensif avec près de 20% de cash et quais cash (6% de cash et 14% de sociétés visées par une OPA).  Ce cash provient aussi de flux importants de souscriptions. Le gérant est prudent sur sa classe d’actifs qu’il estime globalement chère même s’il n’est pas trop inquiet (la prime est justifiée par rapport aux grandes capitalisations). Il regarde les grandes tendances de l’économie. En ce moment il apprécie l’électronique. Il cible également les OPA.;CONSERVER
FR0010241240;Ce fonds investit sur la thématique émergente mais avec une approche originale. En effet, le fonds est à mi chemin entre un fonds actions internationales et un fonds pur actions émergentes. Globetrotter peut investir une partie non négligeable de son actif sur des titres de sociétés occidentales mais ces sociétés doivent tirer leurs revenus des pays émergents. Une part importante du fonds est investie sur des filiales côtées dans les pays émergents de groupes  européens (exemple : Allianz Malaysia). Le fonds n’investit pas dans des pays ayant une trop faible expérience des marchés financiers (ex : Vietnam) Autre originalité, le fonds a une approche « value » (sociétés décotées) alors que la plupart des fonds émergents ont une approche « growth » (valeur de croissance).;Selon Marc Girault, il va falloir être plus discriminant car il y a des valeurs chères et d’autres très attractives. Le P/E moyen du portefeuille est inférieur à 10. Il évite les plus grosses valeurs qu’il estime chères. Le fonds est très différent des autres fonds :  Il est à 0% sur le secteur technologique versus 30% sur l’indice, 27% d’Asie contre 60% dans l’indice. Le fonds investit plus dans les pays frontières.   ;
FR0007495049;HMG Rendement est un fonds  opportuniste et contrariant. Il investit essentiellement  sur des titres obligataires et  sur des actions de rendement. Le process a changé puisque les actions qui étaient investies à la marge sont maintenant très présentes dans le fonds. Le gérant se concentre sur des titres peu liquides et peu regardés des autres gérants. On trouvera par exemple des obligations subordonnées bancaires, des titres participatifs, des obligations perpétuelles ou encore des obligations convertibles. Les actions  sont le plus souvent des foncières. Elles ont donc un profil hybride.;Le High Yield lui-même est moins intéressant. Le rendement ne compense plus le risque. Il n’est quasiment plus sur le segment.  On est surement à un moment compliqué pour le marché (taux souverains bas et spread de crédit au plus bas). Il n’a plus que 20% d’obligations à taux fixes. Sur ce segment on trouve 25% d’obligations subordonnées (bancaires et corporate). La part actions a augmenté et est légèrement supérieure à 50%. La part de foncières est proche de 20%. Ils ont commencé à se diversifier internationalement avec 6% de sociétés internationales. 10% du fonds est exposé au risque de change. Avec 10% de liquidités, le gérant exprime une certaine prudence. Selon lui tout est cher et il faut beaucoup de sélectivité. ;
LU0990662370;Fonds Long/Short sur la dette émergente. Fonds à faible volatilité. Il a bien résisté à la crise de la dette émergente. Le fonds donne trop peu de rendement (2-3%) pour que l'on prenne le risque. En effet la volatilité (2%) est trompeuse. Le vrai risque sur ce type de produit est la liquidité;;
LU1240329380;Invesco Euro Equity est un fonds de sélection d’actions de grandes capitalisations de la zone Euro. La gestion se concentre sur les dossiers avant l’analyse macro-économique même si celle-ci joue un rôle important. Le gérant n’a pas de biais structurel même si son approche très focalisée sur la valorisation, lui donne une teinte « value » c’est-à-dire un investissement sur des sociétés qui semblent décotées par rapport à leur valeur intrinsèque. Le portefeuille est relativement concentré et peut largement s’écarter de son indice de référence, notamment en termes d’allocation sectorielle. ;Les trois surpondérations les plus importantes demeurent les services de communication, les services financiers et l'énergie. Les trois principales sous-pondérations sont les technologies de l'information, la consommation discrétionnaire et la consommation de base. Le positionnement est donc résolument « value ». Le gérant est confiant sur le portefeuille, notamment par ce que le marché exagère les craintes macro-économiques. Par ailleurs, le PE à terme du marché européen se situe désormais bien en dessous de la moyenne à long terme, ce qui implique qu'un degré élevé de scepticisme sur l'évolution des résultats est déjà pris en compte. Enfin, le risque politique pourrait refluer en 2019.  ;ACHETER
FR0011584390;John Locke Equity Market Neutral est un fonds Long/Short Equity (acheteur/vendeur actions) sans exposition résiduelle au marché (market neutral). Son process de gestion est quantitatif. L’univers d’investissement sont les actions européennes et américaines (sans risque de change). L’objectif est de générer de la performance décorrélée des marchés actions avec une volatilité comprise entre 5 et 8%. Pour se faire le modèle essaie de capter les inefficiences de marché. Le fonds combine essentiellement 3 modèles : un modèle de retour à la moyenne, un modèle de persistance des styles (grandes versus petites capitalisations, growth versus value…) et un modèle de consensus (il investit suivant les valeurs les plus appréciées des analystes et les changements de recommandations). Nous apprécions la diversité des stratégies. Ainsi lorsque certaines stratégies ne sont pas à favoriser, le gérant peut allouer son budget de risque à d’autres. La gestion du risque est importante. Le fonds même s’il a une exposition neutre au marché peut avoir une exposition brute entre 500 et 700%. Le   taux de rotation est très élevé.;;
LU0129445192;"JPMorgan Funds - Europe Strategic Value Fund est un fonds actions européennes essentiellement investi sur des sociétés de type ""value"" c'est à dire décotées ou délaissées par le marché. La sélection de titres est basée sur une approche bottom-up. Au niveau sectoriel, la gestion s'autorise un écart pouvant aller jusqu'à 10% sur chaque secteur par rapport à l'indice de référence, le MSCI Europe Value Index. ";"Le fonds a une répartition sectorielle relative proche de son indice. Le secteur financier est largement privilégié et représente près d'un tiers du fonds. Le seul autre secteur dépassant la barre des 10% est celui de l'énergie. Même constat pour la répartition géographique dominée par le Royaume-Uni (35%) puis la France (14.5%).
La gestion pense que les 3 sujets préoccupants de 2018 vont se clarifier en 2019 : la guerre commerciale entre les US et la Chine, la sortie du l'Royaume-Uni de l'Union Européenne et l'Italie. Elle est également confiante dans la progression du style ""value"". Enfin, la réaction du marché face aux signes de resserrement de la politique monétaire de la BCE, notamment si l’euro se renforce par rapport au dollar américain, devrait être intéressante.";
LU0599213559;JPM Emerging Strategic Bond Fund est un fonds « agile » sur la dette émergente. Ce fonds intervient sur la dette souveraine en devises dures comme en devises locales ainsi que sur les obligations d’entreprises. L’exposition aux devises est également gérée. Le gérant fait varier sa pondération entre ces différentes stratégies ce que nous apprécions. Par ailleurs le gérant a une gestion active des risques de crédit et de taux d’intérêt afin de se prémunir d’une correction. Pour se faire, il utilise des couvertures. La part est couverte contre le risque de change EUR/USD. ;Actuellement, le fonds est plus confiant sur les dettes en devises dures. Côté géographique il se ré expose à la Russie et reste à l'écart de l'Amérique Latine. Concernant les obligations d'entreprises, il trouve des opportunités sur le B. Plus de 40% du fonds est en High Yield. La duration moyenne est de 5 pour un taux de rendement actuariel de. ;
LU1001747408;JPM Europe Equity Absolute Alpha est un fonds Long/Short actions avec une exposition nette proche de 0 (market neutral). Cependant, en ajustant du beta, le fonds peut avoir une exposition un peu plus élevée même si réduite. Le fonds vise à être 1/3 sur des valeurs Qualité (sociétés leaders et best in class), 1/3 sur des valeurs Momentum (valeurs qui ont une tendance haussière ou baissière) et 1/3 Value (sociétés décotées par rapport à leur valeur théorique). Le fonds allie un process quantitatif (sur les fondamentaux des entreprises) et discrétionnaire.;;
LU0210536511;JPM US Value Fund est un fonds d’actions de grandes capitalisations américaines avec un biais « value ». Le gérant investira dans des sociétés qu’il juge décôtées par rapport à leur valeur intrinsèque. Ses métriques principales sont le P/E, le Price to book (prix par rapport à la valeur d’actif) et la génération de flux de trésorerie. Le gérant investit tout de même sur des entreprises qu’il juge de qualité. On ne pourra donc trouver des sociétés en retournement, i.e. du « deep value ». Le portefeuille est diversifié sur 70 à 100 valeurs. Le portefeuille peut s’écarter de son indice de référence assez largement même si ces déviations sont bornées (+/-10% en sectoriel, +/- 6% au niveau des actions). ;"Le fonds est fortement positionné sur les services financiers (32%, +6% par rapport au benchmark). La principale sur pondération, hors financières,  est sur la consommation discrétionnaire (Home depot, Autozone…). Le gérant entend bénéficier de la vigueur de la consommation US. A l'inverse le fonds sous pondère la consommation de base.  Pas de changement significatif dans le fonds depuis plusieurs semaines. Le positionnement ""value"" coute depuis le début d'année malgré le rebond de septembre. ";ALLEGER
LU0740858229;"Fonds d’allocation d’actifs recherchant les meilleures opportunités sur tous les marchés et toutes classes d’actifs. Ainsi la gestion se positionne sur le marché international actions y compris sur les pays émergents, le marché immobilier (via des actions foncières) et le marché obligataire en exploitant à la fois, le crédit américain Investment Grade, des obligations High Yield, des convertibles, de la dette émergente et le crédit hypothécaire. L'objectif de ce fonds est de procurer du rendement à l'investisseur, il se positionnera donc en priorité sur des actifs de rendement. 
L’allocation est dynamique dans le temps avec un biais sur les obligations High Yield (25% à 55%) et les actions internationales (15% à 35%). Les autres classes d’actifs variant entre 0% et 15%.";"Le fonds est actuellement postionné sur les actions à hauteur de 42% (surpondération) en majorité sur les US. Sur la partie obligataire, le High Yield représente 30% de l'actif, les ""mortgage"" plus de 10% et enfin la dette émergente 5%. Les foncières globales sont positionnées à hauteur de 5%. ";ALLEGER
